"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"ONESOURCE","1,758.00","1,771.20","1,729.90","1,775.80","1,751.50","-","-24.30","-1.37","76,868","13.50","2,248.00","1,209.95","10.16","-"
"CHAMBLFERT","450.00","450.00","437.50","446.10","439.95","-","-6.15","-1.38","8,09,892","35.75","742.20","410.20","-1.27","-9.30"
"CHOICEIN","834.00","838.00","818.50","831.55","820.00","-","-11.55","-1.39","2,47,949","20.51","860.50","438.45","8.77","55.25"
"CRAFTSMAN","7,850.00","7,870.00","7,733.50","7,850.00","7,739.50","-","-110.50","-1.41","15,481","12.08","8,069.00","3,700.00","10.36","61.25"
"LAURUSLABS","1,095.00","1,096.90","1,070.40","1,090.50","1,075.00","-","-15.50","-1.42","14,10,479","152.57","1,141.00","501.15","7.54","93.36"
"NHPC","81.29","81.54","79.46","81.29","80.13","-","-1.16","-1.43","6,29,86,811","506.04","92.34","71.00","5.54","3.94"
"POLICYBZR","1,659.80","1,659.80","1,609.90","1,648.50","1,625.00","-","-23.50","-1.43","16,75,401","271.89","1,978.00","1,311.35","-11.01","-8.15"
"DMART","3,820.00","3,832.00","3,741.00","3,830.30","3,775.30","-","-55.00","-1.44","8,17,036","308.44","4,949.50","3,340.00","-2.10","5.81"
"JPPOWER","16.42","16.50","16.14","16.48","16.24","-","-0.24","-1.46","2,20,61,676","36.00","27.70","12.36","-9.22","-0.31"
"NEULANDLAB","14,270.00","14,400.00","14,037.00","14,262.00","14,051.00","-","-211.00","-1.48","31,110","44.27","19,747.00","10,190.70","-12.63","5.00"
"POLYMED","1,660.00","1,669.80","1,638.20","1,666.80","1,642.00","-","-24.80","-1.49","11,64,197","191.62","2,937.60","1,625.00","-11.19","-34.20"
"MINDACORP","568.05","572.80","557.50","569.05","560.55","-","-8.50","-1.49","3,46,600","19.54","619.95","445.05","-6.19","-1.31"
"JBMA","601.00","608.70","590.00","600.90","591.90","-","-9.00","-1.50","3,51,251","21.09","824.00","489.80","5.31","-62.06"
"BHARTIHEXA","1,599.90","1,625.90","1,586.20","1,639.80","1,615.00","-","-24.80","-1.51","4,07,526","65.41","2,052.90","1,234.00","-7.40","19.03"
"BEML","1,813.00","1,824.60","1,780.40","1,812.40","1,785.00","-","-27.40","-1.51","1,62,629","29.31","2,437.40","1,175.00","4.84","-48.98"
"ENRIN","2,369.00","2,386.10","2,315.90","2,363.50","2,327.50","-","-36.00","-1.52","5,20,655","122.29","3,625.00","2,315.90","-21.91","-"
"ATGL","554.95","558.05","545.00","554.40","546.00","-","-8.40","-1.52","5,53,847","30.44","798.00","532.60","-6.84","-17.44"
"ABLBL","118.79","119.39","115.30","117.80","116.00","-","-1.80","-1.53","9,32,047","10.86","175.00","114.25","-8.50","-"
"ASHOKLEY","185.93","186.66","183.75","186.89","184.02","-","-2.87","-1.54","2,66,84,199","493.36","191.80","95.93","9.84","-10.85"
"POONAWALLA","474.60","482.00","460.30","471.25","463.95","-","-7.30","-1.55","13,75,896","64.55","570.40","267.20","4.94","49.54"
"PNBHOUSING","984.00","988.75","957.25","975.00","959.80","-","-15.20","-1.56","5,86,376","56.99","1,141.90","746.70","5.27","12.25"
"MOTILALOFS","861.65","877.00","846.45","861.55","848.00","-","-13.55","-1.57","11,87,478","102.57","1,097.10","513.00","2.08","-1.41"
"GODREJAGRO","549.00","549.80","538.65","548.65","540.00","-","-8.65","-1.58","75,883","4.12","876.35","538.10","-6.79","-26.38"
"EIDPARRY","949.00","953.70","927.00","943.00","928.00","-","-15.00","-1.59","2,15,894","20.19","1,246.80","639.00","-9.42","13.43"
"NH","1,946.00","1,948.50","1,908.30","1,946.10","1,915.00","-","-31.10","-1.60","1,70,366","32.71","2,370.20","1,260.00","1.26","48.82"
"ASTERDM","604.25","607.15","598.00","608.05","598.35","-","-9.70","-1.60","3,06,893","18.46","732.20","387.10","-1.02","22.43"
"IRCON","165.73","166.27","162.00","164.97","162.30","-","-2.67","-1.62","25,69,432","42.19","229.50","134.24","6.01","-14.48"
"DCMSHRIRAM","1,188.00","1,188.00","1,160.00","1,181.10","1,162.00","-","-19.10","-1.62","22,348","2.62","1,502.30","902.60","-6.05","11.38"
"NMDC","83.85","84.05","82.31","83.85","82.48","-","-1.37","-1.63","2,05,85,800","170.97","86.72","59.53","7.25","30.90"
"RAILTEL","352.50","353.90","346.30","352.95","347.20","-","-5.75","-1.63","11,03,933","38.65","478.95","265.50","4.88","-7.67"
"MSUMI","46.05","46.44","45.12","46.07","45.32","-","-0.75","-1.63","61,46,149","27.92","53.59","30.72","-0.35","-18.55"
"RRKABEL","1,487.60","1,507.00","1,463.30","1,500.10","1,475.00","-","-25.10","-1.67","69,940","10.36","1,562.60","853.55","2.47","12.21"
"BEL","416.55","417.25","406.35","417.60","410.60","-","-7.00","-1.68","1,88,88,193","777.17","436.00","240.25","5.73","53.16"
"TITAGARH","822.65","823.30","802.60","817.85","804.00","-","-13.85","-1.69","6,84,156","55.51","1,111.00","654.55","2.04","-20.35"
"MEDANTA","1,162.60","1,168.00","1,140.80","1,162.60","1,143.00","-","-19.60","-1.69","92,270","10.63","1,456.50","996.45","0.38","11.72"
"MARUTI","16,000.00","16,197.00","15,770.00","16,152.00","15,877.00","-","-275.00","-1.70","7,03,056","1,121.10","17,370.00","11,059.45","-3.03","32.74"
"EIHOTEL","344.25","346.70","337.90","344.85","339.00","-","-5.85","-1.70","1,76,719","6.02","434.80","305.00","-7.89","-14.11"
"TRIVENI","341.00","341.90","332.05","339.90","334.10","-","-5.80","-1.71","1,57,305","5.27","468.10","313.10","-10.61","-16.21"
"AGARWALEYE","486.15","491.60","483.00","492.40","484.00","-","-8.40","-1.71","89,457","4.36","568.00","327.00","-1.30","-"
"CENTURYPLY","761.55","762.05","745.55","761.55","748.55","-","-13.00","-1.71","28,799","2.16","897.10","650.00","-9.90","-2.97"
"ITC","337.50","337.50","328.55","334.75","329.00","-","-5.75","-1.72","3,05,26,898","1,010.59","471.50","328.55","-18.05","-24.73"
"KIMS","626.40","627.80","611.55","623.60","612.85","-","-10.75","-1.72","1,88,192","11.63","798.40","474.05","-6.40","-0.62"
"SUNPHARMA","1,708.00","1,708.00","1,659.30","1,700.70","1,671.10","-","-29.60","-1.74","36,97,596","618.22","1,851.20","1,548.00","-6.31","-5.01"
"DEEPAKFERT","1,224.90","1,231.20","1,190.70","1,216.80","1,195.60","-","-21.20","-1.74","1,48,653","17.96","1,778.60","888.90","-1.90","5.13"
"UNIONBANK","179.25","182.90","174.84","179.27","176.10","-","-3.17","-1.77","3,50,89,123","624.41","182.90","101.71","14.98","66.04"
"ZYDUSLIFE","888.00","891.00","865.40","883.75","868.00","-","-15.75","-1.78","10,52,948","92.35","1,059.05","795.00","-5.06","-11.86"
"TEJASNET","370.00","374.90","363.00","370.80","364.20","-","-6.60","-1.78","15,64,071","57.65","1,150.00","363.00","-22.07","-65.13"
"ADANIENSOL","922.50","929.60","902.70","922.60","906.00","-","-16.60","-1.80","17,41,275","159.36","1,067.70","639.45","-8.61","16.48"
"CAPLIPOINT","1,833.00","1,863.50","1,820.00","1,854.60","1,821.00","-","-33.60","-1.81","39,987","7.37","2,395.00","1,599.00","-6.14","-18.21"
"BBTC","1,825.00","1,846.30","1,811.50","1,846.30","1,812.80","-","-33.50","-1.81","27,634","5.05","2,345.25","1,607.05","-2.60","-8.79"
"SIEMENS","2,971.00","2,974.80","2,903.00","2,970.80","2,916.30","-","-54.50","-1.83","2,80,317","82.10","6,216.25","2,450.00","-7.66","-49.74"
"SONATSOFTW","347.20","358.50","338.00","346.25","339.90","-","-6.35","-1.83","17,66,787","61.23","599.35","286.40","-1.60","-42.48"
"ALOKINDS","15.74","15.75","15.50","15.82","15.53","-","-0.29","-1.83","40,38,995","6.30","23.50","14.01","-2.02","-25.53"
"ERIS","1,470.00","1,474.00","1,441.10","1,473.90","1,447.00","-","-26.90","-1.83","32,092","4.68","1,910.00","1,097.20","-6.67","11.74"
"INDGN","506.60","507.95","492.65","506.60","497.30","-","-9.30","-1.84","1,51,274","7.54","681.70","492.65","-5.41","-23.66"
"DIVISLAB","6,355.50","6,384.00","6,227.50","6,355.50","6,237.00","-","-118.50","-1.86","4,09,423","257.56","7,071.50","4,955.00","-1.57","6.11"
"RKFORGE","503.20","507.60","494.00","504.45","495.00","-","-9.45","-1.87","2,18,903","10.95","1,020.00","475.40","-3.62","-47.78"
"DATAPATTNS","2,582.90","2,601.70","2,522.00","2,578.50","2,530.10","-","-48.40","-1.88","2,89,947","73.80","3,268.80","1,351.15","-1.52","18.81"
"APLLTD","793.00","793.05","772.65","789.90","775.00","-","-14.90","-1.89","82,410","6.40","1,107.90","725.20","-8.53","-22.66"
"BOSCHLTD","37,420.00","37,520.00","36,730.00","37,455.00","36,745.00","-","-710.00","-1.90","34,171","126.54","41,945.00","25,921.60","1.67","17.07"
"USHAMART","432.25","435.45","423.00","434.25","426.00","-","-8.25","-1.90","1,99,296","8.53","497.10","278.55","-6.70","22.17"
"MAHSEAMLES","528.50","533.05","517.70","528.50","518.45","-","-10.05","-1.90","1,12,539","5.90","773.80","517.15","-8.18","-20.02"
"KAYNES","3,698.90","3,735.00","3,586.10","3,680.60","3,610.00","-","-70.60","-1.92","11,30,490","413.30","7,705.00","3,548.20","-13.72","-44.98"
"HINDCOPPER","571.75","572.50","558.90","572.80","561.75","-","-11.05","-1.93","2,85,44,988","1,612.08","576.00","183.82","51.99","154.26"
"SWIGGY","346.25","347.00","337.55","347.05","340.20","-","-6.85","-1.97","98,16,756","334.12","514.80","297.00","-14.13","-30.18"
"CHENNPETRO","883.95","893.25","848.60","875.30","858.00","-","-17.30","-1.98","16,85,997","146.86","1,103.00","433.10","-6.09","49.69"
"MRF","1,45,600.00","1,45,665.00","1,42,535.00","1,45,665.00","1,42,775.00","-","-2,890.00","-1.98","8,096","116.08","1,63,600.00","1,02,124.05","-6.43","25.05"
"DEVYANI","135.00","135.50","131.49","134.79","132.10","-","-2.69","-2.00","27,04,033","35.95","198.87","122.25","3.21","-31.64"
"TARIL","266.90","269.40","259.00","265.90","260.55","-","-5.35","-2.01","30,59,468","80.79","594.00","230.10","-10.44","-73.34"
"TATACHEM","770.35","773.15","752.70","770.35","754.85","-","-15.50","-2.01","2,81,881","21.44","1,026.65","742.25","-0.11","-21.51"
"TIMKEN","3,025.10","3,047.90","2,970.00","3,051.20","2,990.00","-","-61.20","-2.01","19,429","5.84","3,575.00","2,202.00","-3.06","5.92"
"ASIANPAINT","2,787.90","2,826.50","2,750.50","2,813.90","2,756.70","-","-57.20","-2.03","11,43,463","319.23","2,985.70","2,124.75","-1.22","23.64"
"SAIL","152.45","153.12","148.55","152.44","149.25","-","-3.19","-2.09","1,68,96,403","254.83","153.12","99.15","15.18","41.97"
"GLAXO","2,409.80","2,409.80","2,340.00","2,394.80","2,344.20","-","-50.60","-2.11","59,347","14.00","3,515.70","1,921.00","-9.29","14.83"
"SAMMAANCAP","143.89","143.89","139.05","142.97","139.92","-","-3.05","-2.13","79,31,581","111.90","192.95","97.61","-4.64","-1.84"
"CHOLAHLDNG","1,810.10","1,810.10","1,732.20","1,812.70","1,774.10","-","-38.60","-2.13","4,37,475","77.12","2,231.60","1,357.35","-4.58","20.81"
"AARTIIND","362.00","363.75","353.30","362.00","354.25","-","-7.75","-2.14","4,97,481","17.77","495.00","344.20","-4.81","-17.49"
"LTFOODS","369.95","370.00","362.15","370.90","362.95","-","-7.95","-2.14","1,80,639","6.62","518.55","288.25","-9.18","-9.00"
"PCBL","281.10","282.75","270.15","280.45","274.30","-","-6.15","-2.19","5,96,750","16.58","444.15","270.15","-11.68","-23.94"
"JSWINFRA","263.95","264.40","257.00","263.25","257.35","-","-5.90","-2.24","23,44,376","60.77","349.00","218.20","-5.66","-10.88"
"JUBLPHARMA","1,055.70","1,067.90","1,040.00","1,066.30","1,042.20","-","-24.10","-2.26","59,695","6.30","1,248.00","802.00","-1.51","10.73"
"FACT","853.70","862.00","830.00","852.85","833.50","-","-19.35","-2.27","97,032","8.18","1,112.00","565.00","-7.02","-7.13"
"VOLTAS","1,440.00","1,448.50","1,407.00","1,439.90","1,407.00","-","-32.90","-2.28","4,32,002","61.48","1,699.00","1,135.00","1.23","-13.15"
"AEGISLOG","722.10","726.30","703.00","721.75","705.05","-","-16.70","-2.31","2,99,009","21.34","946.50","609.85","-4.66","-14.00"
"ABFRL","72.91","73.29","71.00","72.80","71.11","-","-1.69","-2.32","30,98,882","22.31","295.70","70.55","-3.86","-73.16"
"ELGIEQUIP","440.75","442.95","427.60","439.25","429.00","-","-10.25","-2.33","2,41,572","10.48","608.40","401.00","-9.86","-17.81"
"MANYAVAR","537.65","539.60","522.60","540.15","527.50","-","-12.65","-2.34","67,458","3.59","1,220.95","522.60","-11.41","-56.21"
"HINDALCO","966.50","966.50","930.00","955.35","932.00","-","-23.35","-2.44","40,37,987","380.60","970.80","546.45","11.65","58.00"
"IDEA","11.10","11.11","10.77","11.08","10.80","-","-0.28","-2.53","55,41,40,658","604.01","12.80","6.12","-3.82","23.52"
"CIPLA","1,379.00","1,409.50","1,367.20","1,434.50","1,398.00","-","-36.50","-2.54","43,33,315","603.65","1,673.00","1,335.00","-6.81","-3.43"
"ITCHOTELS","192.84","195.13","186.50","191.91","187.00","-","-4.91","-2.56","31,13,842","58.89","261.62","155.10","-1.91","-"
"KEC","697.00","703.00","679.00","699.25","681.00","-","-18.25","-2.61","4,25,259","29.35","998.85","627.45","-3.44","-28.27"
"OIL","452.95","452.95","441.70","458.00","446.00","-","-12.00","-2.62","36,38,109","162.47","491.50","325.00","11.69","-3.32"
"ACE","874.20","874.40","845.00","874.55","851.50","-","-23.05","-2.64","2,76,728","23.74","1,389.00","845.00","-13.04","-32.11"
"TBOTEK","1,553.60","1,563.20","1,512.50","1,553.60","1,512.50","-","-41.10","-2.65","33,719","5.20","1,764.80","996.00","-10.74","-10.53"
"GMDCLTD","574.00","578.35","554.05","572.35","557.00","-","-15.35","-2.68","20,84,279","117.53","651.00","226.59","6.71","90.14"
"NSLNISP","43.50","43.50","41.61","43.00","41.83","-","-1.17","-2.72","29,56,665","12.49","49.65","32.13","3.49","1.85"
"CGPOWER","575.45","581.40","560.25","576.90","560.65","-","-16.25","-2.82","36,77,834","208.26","797.55","517.70","-16.54","-7.96"
"ACMESOLAR","219.67","223.32","214.61","221.77","215.50","-","-6.27","-2.83","5,39,739","11.85","324.30","167.75","-6.22","-2.60"
"SHYAMMETL","835.00","838.60","809.55","836.75","812.90","-","-23.85","-2.85","1,41,839","11.65","1,001.00","673.50","0.79","9.09"
"HINDZINC","654.20","654.20","634.05","654.20","635.50","-","-18.70","-2.86","1,14,12,408","732.23","670.95","378.15","12.34","44.27"
"GPIL","263.00","265.00","256.30","265.15","257.55","-","-7.60","-2.87","11,12,642","29.06","290.00","145.75","6.29","38.91"
"KPRMILL","865.90","875.00","834.10","858.95","834.10","-","-24.85","-2.89","1,77,566","15.13","1,389.00","755.50","-13.74","-12.83"
"KALYANKJIL","480.90","480.90","463.00","480.40","466.45","-","-13.95","-2.90","62,81,291","294.12","617.70","399.40","-2.42","-15.78"
"TECHNOE","1,001.00","1,004.80","965.20","994.20","965.20","-","-29.00","-2.92","92,711","9.12","1,654.00","785.15","-11.45","-22.83"
"AWL","217.91","218.50","211.00","217.91","211.49","-","-6.42","-2.95","18,31,714","39.25","291.20","211.00","-12.62","-22.37"
"NEWGEN","773.00","777.60","747.00","770.15","747.10","-","-23.05","-2.99","4,08,114","30.94","1,798.90","747.00","-11.20","-57.30"
"GLAND","1,738.00","1,761.80","1,696.00","1,753.60","1,701.00","-","-52.60","-3.00","74,605","12.85","2,131.00","1,277.80","2.39","1.78"
"GRANULES","598.20","602.00","578.00","599.35","581.00","-","-18.35","-3.06","5,00,098","29.48","627.00","422.00","1.58","1.73"
"MANKIND","2,255.50","2,255.50","2,167.90","2,244.40","2,174.60","-","-69.80","-3.11","6,29,547","138.61","2,754.70","2,090.00","3.30","-16.20"
"SJVN","78.90","79.30","75.15","78.71","76.25","-","-2.46","-3.13","86,76,362","66.89","107.50","69.85","5.42","-19.28"
"WELSPUNLIV","125.15","125.15","120.60","125.74","121.80","-","-3.94","-3.13","12,71,336","15.59","159.44","104.80","-10.62","-19.72"
"JIOFIN","287.00","291.00","277.15","287.00","277.95","-","-9.05","-3.15","1,89,34,861","536.46","338.60","198.65","-5.57","2.35"
"THELEELA","452.00","471.00","438.00","452.25","438.00","-","-14.25","-3.15","24,80,190","112.48","474.40","382.50","6.55","-"
"NATIONALUM","366.25","369.80","360.40","373.55","361.50","-","-12.05","-3.23","1,70,73,322","621.86","374.30","137.75","30.61","85.24"
"DIXON","11,108.00","11,231.00","10,702.00","11,103.00","10,738.00","-","-365.00","-3.29","8,91,148","972.73","18,471.00","10,702.00","-21.25","-36.57"
"JWL","330.00","332.50","319.20","331.15","319.90","-","-11.25","-3.40","74,43,421","242.37","522.00","247.15","22.74","-25.55"
"ALKYLAMINE","1,635.20","1,644.20","1,585.00","1,642.70","1,586.90","-","-55.80","-3.40","83,786","13.52","2,438.80","1,506.70","0.38","-8.62"
"APOLLOTYRE","525.65","528.65","506.05","527.95","509.65","-","-18.30","-3.47","8,92,494","45.88","540.50","370.90","-0.48","11.83"
"MAHSCOOTER","14,020.00","14,361.00","13,720.00","14,300.00","13,800.00","-","-500.00","-3.50","10,042","14.14","18,538.00","8,822.00","-2.06","47.89"
"OLAELEC","38.73","39.37","37.01","38.63","37.27","-","-1.36","-3.52","6,72,83,067","254.67","80.80","30.76","8.00","-49.16"
"NATCOPHARM","892.00","892.80","852.90","891.95","860.00","-","-31.95","-3.58","4,83,657","42.07","1,341.00","726.80","-6.73","-29.62"
"MMTC","70.80","70.80","68.03","71.58","68.98","-","-2.60","-3.63","1,45,44,426","100.07","88.19","44.50","25.49","0.07"
"JINDALSAW","161.26","162.00","154.00","159.97","154.14","-","-5.83","-3.64","23,92,834","37.57","286.40","153.00","-5.14","-38.48"
"SAILIFE","908.10","913.05","866.50","905.30","872.20","-","-33.10","-3.66","5,53,978","48.58","983.35","636.10","-3.01","22.78"
"RPOWER","31.57","32.65","31.57","33.18","31.96","-","-1.22","-3.68","4,53,54,347","144.95","76.49","31.27","-7.89","-18.76"
"POLYCAB","7,301.00","7,359.00","7,019.50","7,323.50","7,049.50","-","-274.00","-3.74","8,19,635","590.19","7,948.00","4,555.00","-3.26","10.40"
"ETERNAL","294.05","296.80","286.80","299.25","288.00","-","-11.25","-3.76","6,28,36,265","1,833.25","368.45","194.80","1.14","-"
"DBREALTY","108.70","109.14","103.02","108.70","104.50","-","-4.20","-3.86","16,58,307","17.51","252.67","103.02","-11.77","-34.00"
"AEGISVOPAK","226.00","226.10","213.62","226.07","216.92","-","-9.15","-4.05","7,81,354","17.07","302.00","213.62","-14.56","-"
"POWERINDIA","16,870.00","16,953.00","16,111.00","16,937.00","16,250.00","-","-687.00","-4.06","3,89,082","639.10","22,840.00","8,801.00","-16.08","27.95"
"REDINGTON","273.50","273.90","262.00","273.65","262.55","-","-11.10","-4.06","23,24,762","61.86","334.80","176.94","-2.88","27.46"
"COHANCE","445.00","445.30","423.00","441.95","424.00","-","-17.95","-4.06","5,34,887","23.05","1,328.00","423.00","-20.86","-"
"MAPMYINDIA","1,534.40","1,534.80","1,464.40","1,526.40","1,464.40","-","-62.00","-4.06","1,05,354","15.74","2,166.70","1,464.40","-10.28","-9.78"
"AIIL","650.00","658.70","621.10","666.50","639.30","-","-27.20","-4.08","9,17,516","57.98","683.00","265.10","-77.52","-64.41"
"PATANJALI","543.00","544.95","518.00","543.55","520.70","-","-22.85","-4.20","13,83,796","73.65","670.33","518.00","-3.02","-71.67"
"ATHERENERG","645.00","645.00","605.05","646.60","615.25","-","-31.35","-4.85","23,56,991","146.34","790.00","288.15","-8.48","-"
"ENGINERSIN","197.49","197.62","186.50","196.81","187.00","-","-9.81","-4.98","29,26,404","55.62","255.45","142.20","-3.60","5.85"
"LEMONTREE","149.82","150.57","141.59","149.47","142.00","-","-7.47","-5.00","34,84,153","50.56","180.68","117.51","-11.90","0.64"
"MRPL","159.13","164.00","149.22","158.35","149.96","-","-8.39","-5.30","1,75,79,062","272.58","185.00","98.92","1.71","9.96"
"GVT&D","2,790.00","2,790.00","2,612.00","2,796.00","2,620.30","-","-175.70","-6.28","10,84,220","290.90","3,323.80","1,254.00","-13.00","38.42"
"LTTS","4,168.00","4,168.00","3,891.00","4,243.80","3,908.90","-","-334.90","-7.89","4,56,682","182.98","5,645.00","3,891.00","-14.66","-19.26"
"HBLENGINE","785.00","819.90","757.70","878.25","790.80","-","-87.45","-9.96","1,25,07,092","993.59","1,122.00","405.00","-0.49","49.59"
