symbol,yahoo_symbol
PAGEIND,PAGEIND.NS
WHIRLPOOL,WHIRLPOOL.NS
IGL,IGL.NS
HAPPSTMNDS,HAPPSTMNDS.NS
IIFL,IIFL.NS
SONACOMS,SONACOMS.NS
CRISIL,CRISIL.NS
ESCORTS,ESCORTS.NS
ICICIBANK,ICICIBANK.NS
TATAPOWER,TATAPOWER.NS
LLOYDSME,LLOYDSME.NS
ONGC,ONGC.NS
ADANIPORTS,ADANIPORTS.NS
ADANIPOWER,ADANIPOWER.NS
VIJAYA,VIJAYA.NS
BANDHANBNK,BANDHANBNK.NS
KFINTECH,KFINTECH.NS
LALPATHLAB,LALPATHLAB.NS
SUNDRMFAST,SUNDRMFAST.NS
WAAREEENER,WAAREEENER.NS
IDBI,IDBI.NS
PETRONET,PETRONET.NS
COROMANDEL,COROMANDEL.NS
POWERGRID,POWERGRID.NS
JUBLFOOD,JUBLFOOD.NS
GAIL,GAIL.NS
HEROMOTOCO,HEROMOTOCO.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BAYERCROP,BAYERCROP.NS
KIRLOSENG,KIRLOSENG.NS
ABREL,ABREL.NS
ABBOTINDIA,ABBOTINDIA.NS
HONASA,HONASA.NS
COCHINSHIP,COCHINSHIP.NS
IPCALAB,IPCALAB.NS
AFFLE,AFFLE.NS
ASTRAZEN,ASTRAZEN.NS
KOTAKBANK,KOTAKBANK.NS
ADANIGREEN,ADANIGREEN.NS
APOLLOHOSP,APOLLOHOSP.NS
PGHH,PGHH.NS
HAL,HAL.NS
GESHIP,GESHIP.NS
TVSMOTOR,TVSMOTOR.NS
PHOENIXLTD,PHOENIXLTD.NS
GILLETTE,GILLETTE.NS
JKTYRE,JKTYRE.NS
BATAINDIA,BATAINDIA.NS
LICHSGFIN,LICHSGFIN.NS
TIINDIA,TIINDIA.NS
TITAN,TITAN.NS
SYNGENE,SYNGENE.NS
BHEL,BHEL.NS
TATACOMM,TATACOMM.NS
IRB,IRB.NS
TATASTEEL,TATASTEEL.NS
SOLARINDS,SOLARINDS.NS
BIOCON,BIOCON.NS
SCI,SCI.NS
BLUESTARCO,BLUESTARCO.NS
DELHIVERY,DELHIVERY.NS
GLENMARK,GLENMARK.NS
VTL,VTL.NS
DRREDDY,DRREDDY.NS
KIRLOSBROS,KIRLOSBROS.NS
JYOTICNC,JYOTICNC.NS
KEI,KEI.NS
VENTIVE,VENTIVE.NS
VMM,VMM.NS
EICHERMOT,EICHERMOT.NS
APARINDS,APARINDS.NS
PPLPHARMA,PPLPHARMA.NS
NYKAA,NYKAA.NS
HUDCO,HUDCO.NS
AKZOINDIA,AKZOINDIA.NS
LICI,LICI.NS
TRENT,TRENT.NS
GODIGIT,GODIGIT.NS
NAVA,NAVA.NS
NTPC,NTPC.NS
SCHNEIDER,SCHNEIDER.NS
CGCL,CGCL.NS
RCF,RCF.NS
INDUSTOWER,INDUSTOWER.NS
UNOMINDA,UNOMINDA.NS
SIGNATURE,SIGNATURE.NS
VBL,VBL.NS
JYOTHYLAB,JYOTHYLAB.NS
BLUEDART,BLUEDART.NS
SBICARD,SBICARD.NS
RHIM,RHIM.NS
AAVAS,AAVAS.NS
SUNTV,SUNTV.NS
STARHEALTH,STARHEALTH.NS
ELECON,ELECON.NS
INDHOTEL,INDHOTEL.NS
BALRAMCHIN,BALRAMCHIN.NS
MAZDOCK,MAZDOCK.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
AJANTPHARM,AJANTPHARM.NS
GUJGASLTD,GUJGASLTD.NS
ASAHIINDIA,ASAHIINDIA.NS
LUPIN,LUPIN.NS
EMCURE,EMCURE.NS
TRITURBINE,TRITURBINE.NS
CESC,CESC.NS
NLCINDIA,NLCINDIA.NS
AADHARHFC,AADHARHFC.NS
RVNL,RVNL.NS
ZEEL,ZEEL.NS
AFCONS,AFCONS.NS
CEATLTD,CEATLTD.NS
HAVELLS,HAVELLS.NS
JMFINANCIL,JMFINANCIL.NS
SOBHA,SOBHA.NS
TTML,TTML.NS
BAJAJHFL,BAJAJHFL.NS
PFIZER,PFIZER.NS
SUZLON,SUZLON.NS
SAPPHIRE,SAPPHIRE.NS
AUROPHARMA,AUROPHARMA.NS
ABB,ABB.NS
BSE,BSE.NS
CHALET,CHALET.NS
DEEPAKNTR,DEEPAKNTR.NS
RITES,RITES.NS
GICRE,GICRE.NS
PIDILITIND,PIDILITIND.NS
NUVOCO,NUVOCO.NS
CASTROLIND,CASTROLIND.NS
DALBHARAT,DALBHARAT.NS
CUB,CUB.NS
PTCIL,PTCIL.NS
BLS,BLS.NS
INOXWIND,INOXWIND.NS
CROMPTON,CROMPTON.NS
HDFCLIFE,HDFCLIFE.NS
FORTIS,FORTIS.NS
GRAVITA,GRAVITA.NS
IREDA,IREDA.NS
BLUEJET,BLUEJET.NS
INOXINDIA,INOXINDIA.NS
NBCC,NBCC.NS
BERGEPAINT,BERGEPAINT.NS
ONESOURCE,ONESOURCE.NS
CHAMBLFERT,CHAMBLFERT.NS
CHOICEIN,CHOICEIN.NS
CRAFTSMAN,CRAFTSMAN.NS
LAURUSLABS,LAURUSLABS.NS
NHPC,NHPC.NS
POLICYBZR,POLICYBZR.NS
DMART,DMART.NS
JPPOWER,JPPOWER.NS
NEULANDLAB,NEULANDLAB.NS
POLYMED,POLYMED.NS
MINDACORP,MINDACORP.NS
JBMA,JBMA.NS
BHARTIHEXA,BHARTIHEXA.NS
BEML,BEML.NS
ENRIN,ENRIN.NS
ATGL,ATGL.NS
ABLBL,ABLBL.NS
ASHOKLEY,ASHOKLEY.NS
POONAWALLA,POONAWALLA.NS
PNBHOUSING,PNBHOUSING.NS
MOTILALOFS,MOTILALOFS.NS
GODREJAGRO,GODREJAGRO.NS
EIDPARRY,EIDPARRY.NS
NH,NH.NS
ASTERDM,ASTERDM.NS
IRCON,IRCON.NS
DCMSHRIRAM,DCMSHRIRAM.NS
NMDC,NMDC.NS
RAILTEL,RAILTEL.NS
MSUMI,MSUMI.NS
RRKABEL,RRKABEL.NS
BEL,BEL.NS
TITAGARH,TITAGARH.NS
MEDANTA,MEDANTA.NS
MARUTI,MARUTI.NS
EIHOTEL,EIHOTEL.NS
TRIVENI,TRIVENI.NS
AGARWALEYE,AGARWALEYE.NS
CENTURYPLY,CENTURYPLY.NS
ITC,ITC.NS
KIMS,KIMS.NS
SUNPHARMA,SUNPHARMA.NS
DEEPAKFERT,DEEPAKFERT.NS
UNIONBANK,UNIONBANK.NS
ZYDUSLIFE,ZYDUSLIFE.NS
TEJASNET,TEJASNET.NS
ADANIENSOL,ADANIENSOL.NS
CAPLIPOINT,CAPLIPOINT.NS
BBTC,BBTC.NS
SIEMENS,SIEMENS.NS
SONATSOFTW,SONATSOFTW.NS
ALOKINDS,ALOKINDS.NS
ERIS,ERIS.NS
INDGN,INDGN.NS
DIVISLAB,DIVISLAB.NS
RKFORGE,RKFORGE.NS
DATAPATTNS,DATAPATTNS.NS
APLLTD,APLLTD.NS
BOSCHLTD,BOSCHLTD.NS
USHAMART,USHAMART.NS
MAHSEAMLES,MAHSEAMLES.NS
KAYNES,KAYNES.NS
HINDCOPPER,HINDCOPPER.NS
SWIGGY,SWIGGY.NS
CHENNPETRO,CHENNPETRO.NS
MRF,MRF.NS
DEVYANI,DEVYANI.NS
TARIL,TARIL.NS
TATACHEM,TATACHEM.NS
TIMKEN,TIMKEN.NS
ASIANPAINT,ASIANPAINT.NS
SAIL,SAIL.NS
GLAXO,GLAXO.NS
SAMMAANCAP,SAMMAANCAP.NS
CHOLAHLDNG,CHOLAHLDNG.NS
AARTIIND,AARTIIND.NS
LTFOODS,LTFOODS.NS
PCBL,PCBL.NS
JSWINFRA,JSWINFRA.NS
JUBLPHARMA,JUBLPHARMA.NS
FACT,FACT.NS
VOLTAS,VOLTAS.NS
AEGISLOG,AEGISLOG.NS
ABFRL,ABFRL.NS
ELGIEQUIP,ELGIEQUIP.NS
MANYAVAR,MANYAVAR.NS
HINDALCO,HINDALCO.NS
IDEA,IDEA.NS
CIPLA,CIPLA.NS
ITCHOTELS,ITCHOTELS.NS
KEC,KEC.NS
OIL,OIL.NS
ACE,ACE.NS
TBOTEK,TBOTEK.NS
GMDCLTD,GMDCLTD.NS
NSLNISP,NSLNISP.NS
CGPOWER,CGPOWER.NS
ACMESOLAR,ACMESOLAR.NS
SHYAMMETL,SHYAMMETL.NS
HINDZINC,HINDZINC.NS
GPIL,GPIL.NS
KPRMILL,KPRMILL.NS
KALYANKJIL,KALYANKJIL.NS
TECHNOE,TECHNOE.NS
AWL,AWL.NS
NEWGEN,NEWGEN.NS
GLAND,GLAND.NS
GRANULES,GRANULES.NS
MANKIND,MANKIND.NS
SJVN,SJVN.NS
WELSPUNLIV,WELSPUNLIV.NS
JIOFIN,JIOFIN.NS
THELEELA,THELEELA.NS
NATIONALUM,NATIONALUM.NS
DIXON,DIXON.NS
JWL,JWL.NS
ALKYLAMINE,ALKYLAMINE.NS
APOLLOTYRE,APOLLOTYRE.NS
MAHSCOOTER,MAHSCOOTER.NS
OLAELEC,OLAELEC.NS
NATCOPHARM,NATCOPHARM.NS
MMTC,MMTC.NS
JINDALSAW,JINDALSAW.NS
SAILIFE,SAILIFE.NS
RPOWER,RPOWER.NS
POLYCAB,POLYCAB.NS
ETERNAL,ETERNAL.NS
DBREALTY,DBREALTY.NS
AEGISVOPAK,AEGISVOPAK.NS
POWERINDIA,POWERINDIA.NS
REDINGTON,REDINGTON.NS
COHANCE,COHANCE.NS
MAPMYINDIA,MAPMYINDIA.NS
AIIL,AIIL.NS
PATANJALI,PATANJALI.NS
ATHERENERG,ATHERENERG.NS
ENGINERSIN,ENGINERSIN.NS
LEMONTREE,LEMONTREE.NS
MRPL,MRPL.NS
GVT&D,GVT&D.NS
LTTS,LTTS.NS
HBLENGINE,HBLENGINE.NS
